source, target
0, 17
0, 66
0, 68
0, 600
0, 12
0, 118
0, 819
0, 19
0, 630
1, 73
1, 873
1, 269
2, 86
2, 114
2, 103
2, 97
5, 9
6, 474
6, 702
6, 784
6, 60
6, 134
6, 367
6, 589
6, 280
6, 20
7, 14
8, 4
9, 165
9, 506
11, 17
13, 19
15, 504
15, 20
16, 12
17, 14
21, 20
21, 196
22, 119
22, 33
22, 285
22, 17
22, 695
22, 910
22, 125
22, 455
22, 90
23, 602
24, 378
24, 2
24, 855
24, 177
25, 68
25, 12
25, 4
27, 533
27, 20
27, 783
27, 539
27, 395
27, 91
27, 528
27, 647
27, 636
28, 0
28, 12
28, 54
28, 91
30, 17
30, 780
30, 446
30, 120
30, 685
30, 357
31, 115
31, 196
31, 119
31, 654
31, 21
34, 20
34, 2
34, 196
34, 32
34, 586
34, 922
34, 60
34, 115
34, 268
34, 68
35, 12
36, 280
36, 6
36, 78
37, 196
37, 126
37, 358
37, 91
37, 504
38, 12
39, 40
39, 2
42, 14
43, 12
43, 135
43, 16
43, 62
45, 68
45, 185
45, 126
45, 20
45, 196
45, 539
45, 901
47, 194
47, 237
47, 114
47, 126
47, 488
47, 91
52, 277
52, 738
52, 16
52, 68
52, 12
52, 607
52, 107
52, 19
53, 609
53, 224
54, 12
54, 33
54, 17
55, 119
55, 31
56, 91
57, 46
57, 257
57, 846
57, 89
59, 12
61, 706
63, 96
63, 796
65, 31
65, 89
67, 12
67, 465
67, 91
70, 31
70, 764
71, 419
71, 280
71, 697
71, 863
71, 154
71, 17
71, 117
72, 91
72, 539
72, 21
72, 566
72, 533
72, 306
72, 606
75, 115
75, 37
75, 863
75, 12
75, 245
75, 54
78, 71
78, 154
78, 419
78, 117
78, 26
78, 68
78, 280
78, 6
79, 974
80, 673
80, 2
80, 14
80, 82
80, 382
83, 91
83, 126
84, 9
85, 20
87, 363
87, 65
87, 31
88, 233
88, 14
89, 196
89, 387
93, 296
96, 91
99, 2
101, 46
101, 824
101, 257
101, 387
101, 296
104, 4
104, 21
104, 68
104, 77
104, 289
104, 245
105, 339
110, 191
110, 387
110, 14
112, 550
115, 155
119, 155
120, 33
120, 497
120, 780
120, 357
124, 196
127, 191
130, 91
130, 927
130, 21
131, 16
131, 68
131, 12
131, 54
131, 91
131, 196
131, 409
131, 59
132, 12
134, 794
136, 474
136, 46
138, 46
139, 453
141, 21
141, 214
141, 15
141, 62
143, 297
143, 313
143, 160
144, 404
144, 177
144, 690
144, 378
144, 311
145, 46
145, 125
146, 37
146, 47
146, 712
146, 465
146, 775
146, 2
146, 339
146, 91
146, 522
147, 33
147, 9
148, 12
149, 568
149, 14
149, 46
149, 275
149, 617
149, 360
150, 91
150, 488
150, 196
152, 337
152, 46
152, 257
153, 395
156, 339
156, 2
156, 68
156, 86
156, 441
158, 91
158, 591
158, 36
158, 60
160, 91
160, 867
160, 17
160, 297
160, 126
160, 313
161, 91
161, 3
163, 694
164, 33
164, 2
164, 51
165, 91
170, 413
170, 889
170, 19
170, 61
170, 2
170, 602
170, 147
170, 205
170, 9
173, 12
174, 47
175, 196
177, 378
177, 465
177, 2
177, 510
179, 577
179, 817
179, 194
181, 41
182, 852
182, 568
182, 682
182, 435
182, 14
182, 46
182, 824
182, 257
182, 213
182, 183
182, 275
182, 360
183, 824
183, 46
183, 257
184, 16
184, 12
184, 76
184, 15
184, 43
185, 196
186, 12
186, 19
186, 14
190, 20
191, 453
191, 97
191, 373
191, 463
191, 2
191, 99
191, 224
192, 311
193, 118
193, 196
193, 325
193, 46
194, 91
194, 97
194, 237
195, 62
195, 474
195, 43
195, 660
195, 16
195, 68
195, 12
195, 76
196, 91
196, 748
197, 9
198, 196
198, 4
198, 362
201, 253
201, 378
202, 34
202, 32
203, 265
203, 605
203, 196
207, 375
207, 539
209, 118
210, 479
210, 160
210, 844
210, 297
210, 143
210, 313
210, 774
211, 12
211, 54
211, 68
212, 12
213, 46
213, 824
213, 257
216, 465
218, 497
218, 307
219, 33
219, 257
224, 296
225, 196
225, 273
226, 21
226, 150
227, 14
228, 573
228, 224
228, 238
228, 14
230, 136
230, 802
230, 46
230, 145
230, 536
230, 125
230, 435
231, 15
231, 190
231, 16
231, 68
231, 12
231, 89
231, 861
231, 196
231, 4
231, 363
232, 150
232, 9
239, 14
239, 741
239, 474
241, 526
241, 339
242, 33
242, 649
242, 14
242, 46
242, 204
242, 518
243, 224
243, 14
243, 677
244, 572
244, 269
244, 20
244, 4
244, 32
244, 873
247, 121
247, 233
247, 321
248, 196
248, 155
249, 604
249, 34
249, 32
249, 888
249, 115
249, 280
250, 17
251, 17
251, 91
252, 54
252, 125
252, 2
253, 2
253, 240
255, 14
256, 68
256, 54
256, 16
256, 12
256, 790
257, 46
260, 49
260, 14
261, 19
261, 115
261, 68
261, 54
261, 4
261, 154
261, 12
262, 224
262, 531
263, 196
263, 970
263, 504
264, 17
264, 91
266, 193
267, 46
267, 337
269, 73
269, 86
269, 17
271, 603
271, 154
271, 12
271, 75
271, 465
271, 19
271, 91
271, 2
271, 158
271, 196
271, 384
271, 21
271, 68
271, 17
271, 204
271, 361
271, 35
271, 546
271, 353
271, 346
271, 54
271, 56
274, 54
274, 68
274, 12
274, 47
274, 153
274, 2
274, 196
274, 871
274, 4
274, 395
274, 123
274, 289
274, 15
274, 35
274, 891
275, 46
275, 824
275, 257
277, 12
277, 19
286, 21
288, 567
288, 33
288, 152
288, 334
288, 175
288, 346
288, 193
288, 125
288, 90
291, 465
291, 171
291, 46
292, 14
292, 41
292, 321
294, 805
295, 40
295, 45
296, 298
299, 200
299, 869
299, 234
299, 237
299, 522
301, 14
302, 9
306, 233
307, 91
307, 528
307, 85
307, 453
307, 63
307, 194
307, 96
307, 522
307, 130
307, 47
308, 16
308, 12
308, 559
311, 118
312, 297
312, 143
312, 313
312, 160
315, 166
315, 233
315, 321
315, 14
315, 46
316, 14
316, 46
318, 12
318, 740
319, 375
319, 208
319, 783
320, 109
320, 158
320, 33
320, 32
320, 17
320, 361
320, 60
320, 115
320, 175
322, 354
322, 60
322, 32
323, 14
323, 46
325, 14
327, 14
327, 31
329, 14
329, 2
330, 378
330, 642
330, 253
330, 86
330, 2
330, 441
330, 4
330, 17
330, 14
330, 46
330, 103
331, 255
331, 366
331, 572
332, 77
332, 15
332, 43
332, 16
332, 68
332, 12
332, 54
332, 76
335, 313
335, 479
335, 160
335, 143
335, 774
335, 297
335, 844
335, 210
338, 366
340, 196
343, 17
344, 224
347, 682
347, 860
347, 360
347, 852
347, 275
347, 795
347, 46
347, 257
347, 182
350, 68
350, 289
350, 12
350, 54
351, 352
351, 32
351, 14
351, 46
351, 257
352, 14
352, 46
354, 339
356, 141
359, 920
359, 279
359, 115
359, 68
359, 6
359, 697
359, 154
359, 539
360, 275
360, 536
360, 617
360, 852
360, 568
360, 14
360, 46
360, 824
360, 257
362, 334
362, 533
362, 196
362, 456
362, 504
363, 248
363, 504
363, 89
363, 196
364, 357
367, 273
368, 269
368, 86
368, 150
368, 662
368, 126
368, 200
368, 654
368, 34
368, 870
368, 4
368, 166
368, 814
368, 867
368, 2
368, 1
368, 127
369, 47
369, 289
370, 414
370, 172
377, 465
377, 12
378, 572
378, 321
378, 14
378, 346
378, 338
382, 73
382, 224
384, 474
386, 196
386, 21
386, 47
386, 497
386, 91
386, 158
389, 19
391, 196
393, 96
394, 286
394, 196
394, 203
394, 33
394, 21
396, 253
396, 2
396, 9
396, 51
397, 47
398, 14
401, 12
401, 91
401, 2
401, 116
401, 559
401, 68
401, 96
401, 46
401, 15
401, 115
402, 68
407, 12
407, 19
407, 0
412, 12
413, 9
414, 68
415, 46
415, 953
415, 230
417, 4
417, 681
417, 3
418, 511
418, 324
418, 833
418, 61
418, 2
418, 159
418, 650
419, 108
419, 296
421, 32
421, 693
421, 46
428, 2
428, 196
428, 119
428, 654
428, 4
428, 390
428, 31
428, 37
428, 68
430, 4
431, 262
431, 531
432, 16
432, 12
432, 107
432, 157
432, 77
432, 14
432, 15
433, 91
435, 14
435, 46
437, 51
437, 644
437, 573
437, 2
439, 504
440, 46
440, 547
440, 2
440, 154
442, 125
442, 680
442, 490
442, 224
442, 324
442, 849
442, 344
442, 570
442, 68
442, 46
442, 257
442, 524
443, 503
443, 38
443, 508
443, 54
443, 68
444, 14
446, 364
446, 685
446, 2
446, 196
446, 770
446, 4
446, 439
447, 0
447, 474
447, 46
447, 16
447, 12
447, 89
447, 125
447, 2
448, 904
448, 15
448, 29
448, 68
448, 289
448, 12
448, 377
448, 91
448, 4
449, 975
449, 228
449, 88
450, 20
453, 770
453, 373
453, 103
455, 14
457, 12
458, 337
458, 61
458, 567
459, 2
459, 325
459, 677
459, 103
459, 253
460, 224
460, 46
463, 373
463, 296
463, 97
463, 913
463, 328
463, 126
464, 68
466, 107
466, 131
466, 196
466, 62
466, 0
466, 409
466, 256
466, 790
466, 184
466, 59
466, 15
466, 43
466, 28
466, 16
466, 68
466, 12
466, 54
466, 76
467, 86
469, 31
470, 127
471, 273
475, 745
475, 68
475, 14
475, 364
475, 780
475, 446
475, 196
475, 120
475, 685
475, 2
475, 357
476, 126
476, 328
477, 68
477, 15
477, 172
477, 2
478, 14
479, 297
479, 143
479, 313
479, 160
480, 2
480, 14
480, 441
480, 642
482, 37
482, 17
482, 304
482, 33
482, 577
483, 871
483, 326
483, 540
483, 15
483, 29
483, 519
483, 141
483, 43
483, 16
483, 12
484, 9
485, 12
487, 353
487, 539
487, 498
487, 6
487, 474
488, 91
489, 453
490, 126
490, 91
490, 618
490, 257
492, 21
492, 46
492, 103
492, 286
492, 126
492, 12
493, 104
493, 86
493, 26
493, 4
493, 154
493, 21
493, 77
493, 497
493, 245
493, 115
493, 68
493, 328
495, 31
495, 196
495, 112
502, 14
503, 21
503, 514
503, 103
503, 286
503, 126
504, 748
505, 916
505, 414
505, 3
507, 224
508, 103
509, 33
509, 14
509, 31
509, 365
510, 465
511, 524
511, 125
512, 45
514, 14
515, 49
515, 12
515, 43
515, 16
517, 91
517, 488
521, 14
523, 91
523, 194
527, 3
527, 12
527, 196
527, 77
528, 2
528, 233
528, 99
528, 602
528, 892
528, 358
528, 655
528, 686
528, 88
528, 362
528, 37
528, 118
529, 31
529, 361
530, 196
532, 21
532, 278
532, 63
532, 77
532, 91
532, 130
532, 353
532, 11
532, 330
532, 756
532, 453
532, 115
532, 68
532, 96
532, 566
532, 156
532, 284
532, 289
532, 592
532, 89
532, 594
532, 667
532, 158
532, 116
532, 196
532, 224
532, 648
532, 4
532, 33
532, 761
532, 363
533, 91
534, 572
534, 14
534, 338
534, 366
534, 311
535, 690
535, 378
535, 311
535, 2
535, 157
535, 144
535, 24
535, 14
536, 33
536, 275
536, 46
536, 435
536, 213
540, 334
540, 68
540, 890
540, 2
540, 196
540, 871
540, 4
540, 12
540, 214
540, 15
541, 107
541, 2
541, 0
541, 50
541, 15
541, 758
541, 54
541, 206
541, 272
541, 16
541, 12
541, 112
545, 277
545, 34
545, 4
545, 793
545, 743
545, 91
545, 15
545, 245
545, 103
545, 952
545, 16
545, 37
545, 285
545, 96
545, 52
545, 402
545, 967
545, 12
545, 424
545, 54
545, 60
545, 607
545, 166
545, 104
545, 26
545, 19
547, 196
548, 188
548, 14
548, 46
548, 294
548, 166
548, 805
551, 21
551, 68
551, 20
551, 115
551, 175
551, 603
551, 4
551, 91
551, 196
552, 14
553, 0
553, 16
553, 12
554, 196
554, 126
554, 410
554, 91
554, 273
555, 91
555, 539
555, 334
555, 362
555, 68
555, 533
555, 346
555, 102
555, 20
555, 185
555, 196
558, 441
561, 254
561, 68
562, 46
564, 714
564, 278
568, 852
568, 435
568, 213
568, 275
568, 46
568, 257
569, 495
570, 97
570, 334
570, 2
572, 366
573, 296
574, 2
574, 99
574, 253
574, 695
574, 68
574, 91
575, 22
576, 43
576, 16
576, 12
576, 62
576, 135
579, 41
579, 14
579, 20
582, 46
582, 49
582, 254
583, 758
583, 16
583, 12
586, 33
587, 46
587, 750
587, 91
589, 98
590, 366
590, 338
591, 157
594, 33
594, 214
594, 17
594, 204
595, 677
595, 224
595, 459
596, 12
596, 16
596, 46
597, 353
597, 2
597, 892
598, 196
598, 91
600, 91
600, 196
600, 539
600, 46
600, 68
601, 212
601, 68
601, 220
601, 12
601, 69
602, 379
602, 14
604, 155
604, 115
604, 68
604, 280
604, 697
604, 843
604, 60
604, 721
604, 668
604, 196
604, 61
604, 695
604, 888
607, 12
610, 21
612, 245
614, 60
614, 367
614, 214
615, 196
615, 89
616, 668
616, 32
616, 60
617, 46
617, 257
617, 435
617, 213
618, 233
618, 46
619, 157
620, 654
620, 671
620, 31
621, 99
621, 325
621, 265
621, 33
621, 126
621, 533
621, 125
621, 2
622, 0
623, 655
623, 770
623, 616
623, 86
623, 263
623, 2
623, 158
623, 196
623, 99
624, 21
625, 12
626, 465
628, 68
629, 497
629, 2
629, 33
629, 17
629, 14
631, 16
631, 12
632, 14
632, 121
633, 177
633, 855
633, 68
633, 465
633, 216
633, 2
633, 171
633, 17
634, 221
635, 582
635, 46
636, 703
636, 606
636, 285
636, 91
637, 14
637, 15
637, 334
637, 61
637, 2
638, 310
643, 115
643, 46
644, 285
645, 648
645, 4
645, 2
645, 115
645, 21
646, 685
646, 283
646, 357
646, 745
646, 225
646, 364
646, 780
646, 120
647, 46
647, 20
649, 399
650, 196
650, 504
651, 9
651, 165
652, 46
653, 14
656, 301
656, 224
656, 339
656, 925
656, 438
656, 715
656, 33
656, 767
656, 46
657, 12
657, 25
657, 0
657, 16
660, 296
661, 361
661, 693
661, 469
661, 391
661, 867
661, 550
661, 223
661, 51
661, 11
661, 155
661, 504
661, 265
661, 756
661, 453
661, 115
661, 31
661, 55
661, 37
661, 68
661, 185
661, 41
661, 126
661, 566
661, 872
661, 421
661, 138
661, 190
661, 89
661, 620
661, 206
661, 60
661, 428
661, 26
661, 175
661, 158
661, 196
661, 119
661, 224
661, 654
661, 648
661, 644
661, 363
661, 395
661, 584
661, 703
661, 17
661, 91
662, 17
662, 14
666, 196
666, 91
667, 3
667, 373
667, 91
667, 97
668, 14
668, 379
670, 33
670, 17
671, 155
672, 14
672, 46
672, 316
672, 340
674, 9
676, 183
676, 275
676, 14
676, 46
676, 824
676, 257
676, 536
676, 617
676, 682
676, 435
676, 360
676, 213
676, 852
676, 568
677, 91
677, 2
677, 14
680, 642
680, 224
680, 14
680, 338
680, 126
680, 366
681, 233
682, 568
682, 14
682, 46
682, 257
682, 275
682, 846
682, 536
682, 435
682, 360
682, 852
683, 12
683, 2
683, 277
683, 474
683, 516
683, 15
685, 357
686, 497
686, 2
688, 287
688, 642
688, 17
688, 14
689, 695
689, 19
690, 311
690, 378
690, 14
696, 2
697, 280
697, 339
697, 533
698, 19
698, 125
698, 128
699, 154
699, 280
699, 17
699, 106
699, 26
699, 115
699, 913
699, 68
699, 89
699, 363
699, 2
699, 196
699, 240
700, 16
700, 12
701, 19
701, 68
704, 31
704, 950
705, 228
708, 2
708, 15
710, 28
710, 115
710, 16
710, 96
710, 297
710, 12
710, 54
710, 2
710, 0
710, 4
710, 256
710, 15
712, 265
712, 612
712, 245
716, 2
716, 99
716, 118
718, 111
719, 378
719, 201
720, 974
722, 306
722, 606
722, 91
722, 539
723, 125
725, 103
725, 86
727, 118
728, 91
728, 3
730, 3
731, 103
731, 309
731, 97
731, 334
731, 86
731, 114
731, 296
731, 2
731, 51
731, 224
731, 33
731, 344
731, 199
731, 46
731, 91
732, 2
732, 404
734, 191
734, 97
737, 2
738, 12
739, 103
739, 86
742, 177
742, 216
742, 171
742, 465
744, 488
745, 14
745, 364
745, 2
745, 283
745, 357
746, 127
750, 46
750, 644
751, 115
751, 68
751, 204
751, 33
751, 91
751, 296
752, 31
752, 33
752, 586
752, 115
753, 68
753, 20
753, 196
753, 539
755, 14
755, 46
756, 233
756, 17
757, 45
758, 157
759, 46
759, 68
759, 12
760, 21
760, 584
760, 166
760, 465
760, 91
760, 3
760, 46
760, 725
760, 56
760, 26
760, 2
760, 4
761, 91
762, 273
762, 399
762, 14
767, 224
767, 344
767, 2
767, 33
767, 46
768, 14
773, 16
773, 485
773, 4
773, 12
773, 52
774, 143
774, 297
774, 313
774, 479
774, 160
775, 712
775, 917
776, 678
776, 109
776, 923
776, 9
777, 20
778, 61
780, 711
780, 685
780, 283
780, 33
780, 68
780, 439
780, 118
781, 506
781, 9
784, 88
786, 16
786, 12
786, 14
790, 14
790, 12
793, 196
795, 275
795, 852
795, 46
795, 257
796, 91
796, 667
797, 518
797, 2
799, 2
799, 14
802, 213
802, 275
802, 46
802, 351
802, 257
802, 125
802, 352
802, 360
802, 676
803, 31
804, 253
804, 2
804, 240
806, 4
806, 33
806, 363
806, 21
806, 77
806, 465
806, 43
806, 0
806, 506
806, 115
806, 31
806, 16
806, 175
806, 68
806, 156
806, 35
806, 863
806, 138
806, 12
806, 89
806, 54
806, 56
806, 332
806, 2
806, 196
806, 567
807, 68
807, 91
808, 43
808, 759
808, 16
808, 12
808, 54
808, 125
808, 2
808, 62
809, 29
809, 871
809, 4
809, 326
812, 46
813, 130
813, 165
813, 453
813, 115
813, 234
813, 185
