id, name, desc
0, matplotlib, id = 0
1, boto3, id = 1
2, requests, id = 2
3, dataclasses, id = 3
4, pyyaml, id = 4
5, django-appconf, id = 5
6, ipython, id = 6
7, routes, id = 7
8, pyaml, id = 8
9, django, id = 9
10, pyqt5, id = 10
11, croniter, id = 11
12, numpy, id = 12
13, pdf2image, id = 13
14, six, id = 14
15, tqdm, id = 15
16, scipy, id = 16
17, python-dateutil, id = 17
18, alibabacloud-rpc-util, id = 18
19, pillow, id = 19
20, colorama, id = 20
21, click, id = 21
22, trytond, id = 22
23, mechanize, id = 23
24, google-cloud-storage, id = 24
25, astropy, id = 25
26, psutil, id = 26
27, pylint, id = 27
28, seaborn, id = 28
29, torch, id = 29
30, oslo.log, id = 30
31, flask, id = 31
32, docutils, id = 32
33, pytz, id = 33
34, sphinx, id = 34
35, pyarrow, id = 35
36, ipywidgets, id = 36
37, jsonschema, id = 37
38, shapely, id = 38
39, codecov, id = 39
40, coverage, id = 40
41, termcolor, id = 41
42, python-memcached, id = 42
43, scikit-learn, id = 43
44, tensorboard, id = 44
45, pytest, id = 45
46, setuptools, id = 46
47, aiohttp, id = 47
48, jupyter, id = 48
49, wheel, id = 49
50, ruamel.yaml, id = 50
51, pyjwt, id = 51
52, scikit-image, id = 52
53, alibabacloud-openapi-util, id = 53
54, pandas, id = 54
55, flask-login, id = 55
56, gitpython, id = 56
57, zope.sqlalchemy, id = 57
58, sys, id = 58
59, h5py, id = 59
60, pygments, id = 60
61, beautifulsoup4, id = 61
62, joblib, id = 62
63, fastapi, id = 63
64, docopt, id = 64
65, flask-sqlalchemy, id = 65
66, cycler, id = 66
67, onnx, id = 67
68, packaging, id = 68
69, cython, id = 69
70, flask-compress, id = 70
71, jupyter-client, id = 71
72, black, id = 72
73, jmespath, id = 73
74, tensorflow, id = 74
75, altair, id = 75
76, numba, id = 76
77, cloudpickle, id = 77
78, ipykernel, id = 78
79, schema, id = 79
80, oss2, id = 80
81, sklearn, id = 81
82, pycryptodome, id = 82
83, parver, id = 83
84, django-cors-headers, id = 84
85, loguru, id = 85
86, urllib3, id = 86
87, flask-migrate, id = 87
88, pathlib2, id = 88
89, sqlalchemy, id = 89
90, passlib, id = 90
91, typing-extensions, id = 91
92, xlrd, id = 92
93, zstandard, id = 93
94, configparser, id = 94
95, boto, id = 95
96, pydantic, id = 96
97, idna, id = 97
98, ptyprocess, id = 98
99, requests-toolbelt, id = 99
100, progressbar2, id = 100
101, gevent, id = 101
102, chardet, id = 102
103, certifi, id = 103
104, dask, id = 104
105, portalocker, id = 105
106, prometheus-client, id = 106
107, networkx, id = 107
108, py, id = 108
109, unidecode, id = 109
110, eventlet, id = 110
111, adafruit-blinka, id = 111
112, plotly, id = 112
113, uuid, id = 113
114, charset-normalizer, id = 114
115, jinja2, id = 115
116, typer, id = 116
117, nest-asyncio, id = 117
118, pyparsing, id = 118
119, werkzeug, id = 119
120, oslo.serialization, id = 120
121, argparse, id = 121
122, pycrypto, id = 122
123, xxhash, id = 123
124, jsonpickle, id = 124
125, lxml, id = 125
126, attrs, id = 126
127, pymongo, id = 127
128, xlsxwriter, id = 128
129, argh, id = 129
130, uvicorn, id = 130
131, anndata, id = 131
132, opencv-python, id = 132
133, asyncio, id = 133
134, jedi, id = 134
135, threadpoolctl, id = 135
136, plone.api, id = 136
137, nose, id = 137
138, gunicorn, id = 138
139, python-telegram-bot, id = 139
140, pyelftools, id = 140
141, nltk, id = 141
142, bottle, id = 142
143, constructs, id = 143
144, google-api-python-client, id = 144
145, plone.app.registry, id = 145
146, web3, id = 146
147, djangorestframework, id = 147
148, biopython, id = 148
149, z3c.jbot, id = 149
150, redis, id = 150
151, robotframework, id = 151
152, pyramid, id = 152
153, multiprocess, id = 153
154, tornado, id = 154
155, markupsafe, id = 155
156, docker, id = 156
157, future, id = 157
158, rich, id = 158
159, parse, id = 159
160, jsii, id = 160
161, pypdf2, id = 161
162, peewee, id = 162
163, pygobject, id = 163
164, twilio, id = 164
165, asgiref, id = 165
166, appdirs, id = 166
167, llvmlite, id = 167
168, simpleitk, id = 168
169, lz4, id = 169
170, wagtail, id = 170
171, grpcio, id = 171
172, python-dotenv, id = 172
173, netcdf4, id = 173
174, discord.py, id = 174
175, markdown, id = 175
176, psycopg2-binary, id = 176
177, google-api-core, id = 177
178, pybind11, id = 178
179, gql, id = 179
180, python-box, id = 180
181, yaspin, id = 181
182, zope.container, id = 182
183, zope.lifecycleevent, id = 183
184, umap-learn, id = 184
185, pluggy, id = 185
186, wxpython, id = 186
187, time, id = 187
188, pyserial, id = 188
189, ratelimit, id = 189
190, colorlog, id = 190
191, dnspython, id = 191
192, oauth2, id = 192
193, rdflib, id = 193
194, yarl, id = 194
195, librosa, id = 195
196, importlib-metadata, id = 196
197, django-extensions, id = 197
198, pre-commit, id = 198
199, pycryptodomex, id = 199
200, ujson, id = 200
201, google-auth-oauthlib, id = 201
202, sphinx-rtd-theme, id = 202
203, kombu, id = 203
204, tzlocal, id = 204
205, openpyxl, id = 205
206, tabulate, id = 206
207, autopep8, id = 207
208, pyflakes, id = 208
209, pydot, id = 209
210, aws-cdk.aws-ec2, id = 210
211, xarray, id = 211
212, numexpr, id = 212
213, zope.schema, id = 213
214, regex, id = 214
215, voluptuous, id = 215
216, proto-plus, id = 216
217, ansible, id = 217
218, nonebot-adapter-onebot, id = 218
219, datetime, id = 219
220, py-cpuinfo, id = 220
221, humanfriendly, id = 221
222, pyglet, id = 222
223, graphviz, id = 223
224, cryptography, id = 224
225, prettytable, id = 225
226, rq, id = 226
227, attrdict, id = 227
228, paramiko, id = 228
229, terminaltables, id = 229
230, products.cmfplone, id = 230
231, optuna, id = 231
232, django-redis, id = 232
233, typing, id = 233
234, aiofiles, id = 234
235, tensorflow-estimator, id = 235
236, xmltodict, id = 236
237, multidict, id = 237
238, bcrypt, id = 238
239, jsonpath-ng, id = 239
240, oauthlib, id = 240
241, cherrypy, id = 241
242, apscheduler, id = 242
243, azure-identity, id = 243
244, awscli, id = 244
245, toolz, id = 245
246, sh, id = 246
247, pypinyin, id = 247
248, mako, id = 248
249, nbsphinx, id = 249
250, python-crontab, id = 250
251, arrow, id = 251
252, pandas-datareader, id = 252
253, requests-oauthlib, id = 253
254, pip, id = 254
255, ecdsa, id = 255
256, statsmodels, id = 256
257, zope.interface, id = 257
258, atomicwrites, id = 258
259, funcy, id = 259
260, astunparse, id = 260
261, bokeh, id = 261
262, alibabacloud-openapi-util-py2, id = 262
263, keyring, id = 263
264, faker, id = 264
265, cached-property, id = 265
266, sparqlwrapper, id = 266
267, fanstatic, id = 267
268, alabaster, id = 268
269, botocore, id = 269
270, einops, id = 270
271, streamlit, id = 271
272, sympy, id = 272
273, wcwidth, id = 273
274, datasets, id = 274
275, zope.component, id = 275
276, glob2, id = 276
277, imageio, id = 277
278, orjson, id = 278
279, notebook, id = 279
280, traitlets, id = 280
281, texttable, id = 281
282, cvxopt, id = 282
283, iso8601, id = 283
284, aiosqlite, id = 284
285, wrapt, id = 285
286, click-plugins, id = 286
287, elasticsearch, id = 287
288, cubicweb, id = 288
289, fsspec, id = 289
290, keras, id = 290
291, grpcio-tools, id = 291
292, fire, id = 292
293, absl-py, id = 293
294, pyobjc-framework-cocoa, id = 294
295, pytest-cov, id = 295
296, cffi, id = 296
297, typeguard, id = 297
298, pycparser, id = 298
299, sanic, id = 299
300, python-gnupg, id = 300
301, configobj, id = 301
302, jsonfield, id = 302
303, pysam, id = 303
304, simplejson, id = 304
305, vtk, id = 305
306, mypy-extensions, id = 306
307, nonebot2, id = 307
308, gensim, id = 308
309, asn1crypto, id = 309
310, pymysql, id = 310
311, httplib2, id = 311
312, aws-cdk-lib, id = 312
313, publication, id = 313
314, path.py, id = 314
315, fs, id = 315
316, paste, id = 316
317, pyfiglet, id = 317
318, zarr, id = 318
319, flake8, id = 319
320, pelican, id = 320
321, enum34, id = 321
322, kivy, id = 322
323, archetypes.schemaextender, id = 323
324, w3lib, id = 324
325, isodate, id = 325
326, torchvision, id = 326
327, flask-cors, id = 327
328, sortedcontainers, id = 328
329, requests-mock, id = 329
330, kubernetes, id = 330
331, python-jose, id = 331
332, shap, id = 332
333, pika, id = 333
334, filelock, id = 334
335, aws-cdk.aws-lambda, id = 335
336, aenum, id = 336
337, webob, id = 337
338, pyasn1-modules, id = 338
339, pywin32, id = 339
340, pastedeploy, id = 340
341, lark, id = 341
342, python-json-logger, id = 342
343, strictyaml, id = 343
344, pyopenssl, id = 344
345, selenium, id = 345
346, cachetools, id = 346
347, five.grok, id = 347
348, pygame, id = 348
349, psycopg2, id = 349
350, fastparquet, id = 350
351, products.cmfcore, id = 351
352, products.genericsetup, id = 352
353, toml, id = 353
354, pypiwin32, id = 354
355, clint, id = 355
356, textblob, id = 356
357, pbr, id = 357
358, pyrsistent, id = 358
359, jupyterlab, id = 359
360, zope.publisher, id = 360
361, blinker, id = 361
362, virtualenv, id = 362
363, alembic, id = 363
364, stevedore, id = 364
365, aniso8601, id = 365
366, pyasn1, id = 366
367, prompt-toolkit, id = 367
368, requests-cache, id = 368
369, s3fs, id = 369
370, environs, id = 370
371, cement, id = 371
372, pysocks, id = 372
373, sniffio, id = 373
374, tensorflow-gpu, id = 374
375, pycodestyle, id = 375
376, python-igraph, id = 376
377, tensorboardx, id = 377
378, google-auth, id = 378
379, webencodings, id = 379
380, pyodbc, id = 380
381, bidict, id = 381
382, aliyun-python-sdk-core, id = 382
383, wget, id = 383
384, validators, id = 384
385, base58, id = 385
386, textual, id = 386
387, greenlet, id = 387
388, pyside2, id = 388
389, reportlab, id = 389
390, inflection, id = 390
391, argcomplete, id = 391
392, peppercorn, id = 392
393, inflect, id = 393
394, celery, id = 394
395, dill, id = 395
396, django-allauth, id = 396
397, slackclient, id = 397
398, retrying, id = 398
399, ordereddict, id = 399
400, json5, id = 400
401, spacy, id = 401
402, qtpy, id = 402
403, scapy, id = 403
404, uritemplate, id = 404
405, uwsgi, id = 405
406, antchain-alipay-util, id = 406
407, wordcloud, id = 407
408, pypandoc, id = 408
409, natsort, id = 409
410, pyperclip, id = 410
411, pyspark, id = 411
412, deap, id = 412
413, django-filter, id = 413
414, marshmallow, id = 414
415, plone, id = 415
416, mutagen, id = 416
417, omegaconf, id = 417
418, requests-html, id = 418
419, pyzmq, id = 419
420, pydash, id = 420
421, python-daemon, id = 421
422, deepmerge, id = 422
423, urwid, id = 423
424, pint, id = 424
425, cbor2, id = 425
426, mkdocs-material, id = 426
427, diskcache, id = 427
428, connexion, id = 428
429, progressbar, id = 429
430, oyaml, id = 430
431, alibabacloud-tea-openapi-py2, id = 431
432, hyperopt, id = 432
433, tinydb, id = 433
434, pyusb, id = 434
435, zope.i18nmessageid, id = 435
436, dynaconf, id = 436
437, pygithub, id = 437
438, configargparse, id = 438
439, netaddr, id = 439
440, mopidy, id = 440
441, websocket-client, id = 441
442, scrapy, id = 442
443, geopandas, id = 443
444, blessings, id = 444
445, pyxdg, id = 445
446, oslo.config, id = 446
447, obspy, id = 447
448, pytorch-lightning, id = 448
449, fabric, id = 449
450, qrcode, id = 450
451, mock, id = 451
452, folium, id = 452
453, httpx, id = 453
454, xlwt, id = 454
455, genshi, id = 455
456, distlib, id = 456
457, opencv-contrib-python, id = 457
458, webtest, id = 458
459, msrest, id = 459
460, autobahn, id = 460
461, send2trash, id = 461
462, pulp, id = 462
463, trio, id = 463
464, deprecation, id = 464
465, protobuf, id = 465
466, scanpy, id = 466
467, dulwich, id = 467
468, beautifulsoup, id = 468
469, flask-caching, id = 469
470, mongoengine, id = 470
471, ftfy, id = 471
472, python-magic, id = 472
473, aiodns, id = 473
474, decorator, id = 474
475, python-keystoneclient, id = 475
476, hypothesis, id = 476
477, webdriver-manager, id = 477
478, python-multipart, id = 478
479, aws-cdk.core, id = 479
480, docker-py, id = 480
481, schedule, id = 481
482, singer-python, id = 482
483, sentence-transformers, id = 483
484, django-model-utils, id = 484
485, opencv-python-headless, id = 485
486, toposort, id = 486
487, ipdb, id = 487
488, async-timeout, id = 488
489, googletrans, id = 489
490, twisted, id = 490
491, feedparser, id = 491
492, rasterio, id = 492
493, distributed, id = 493
494, mysql-python, id = 494
495, dash, id = 495
496, progress, id = 496
497, msgpack, id = 497
498, pathlib, id = 498
499, pystache, id = 499
500, cchardet, id = 500
501, stringcase, id = 501
502, multipledispatch, id = 502
503, fiona, id = 503
504, importlib-resources, id = 504
505, dataclasses-json, id = 505
506, sqlparse, id = 506
507, authlib, id = 507
508, pyproj, id = 508
509, flask-restful, id = 509
510, googleapis-common-protos, id = 510
511, pyquery, id = 511
512, pytest-mock, id = 512
513, qiskit, id = 513
514, munch, id = 514
515, lightgbm, id = 515
516, imageio-ffmpeg, id = 516
517, aioredis, id = 517
518, futures, id = 518
519, sentencepiece, id = 519
520, astroquery, id = 520
521, kazoo, id = 521
522, websockets, id = 522
523, aio-pika, id = 523
524, cssselect, id = 524
525, alibabacloud-endpoint-util, id = 525
526, more-itertools, id = 526
527, gym, id = 527
528, tomlkit, id = 528
529, flask-mail, id = 529
530, humanize, id = 530
531, alibabacloud-tea-util-py2, id = 531
532, prefect, id = 532
533, platformdirs, id = 533
534, oauth2client, id = 534
535, earthengine-api, id = 535
536, zope.i18n, id = 536
537, markdown2, id = 537
538, logging, id = 538
539, tomli, id = 539
540, transformers, id = 540
541, pymatgen, id = 541
542, falcon, id = 542
543, msgpack-python, id = 543
544, emoji, id = 544
545, napari, id = 545
546, semver, id = 546
547, pykka, id = 547
548, plover, id = 548
549, slack-sdk, id = 549
550, tenacity, id = 550
551, mkdocs, id = 551
552, anytree, id = 552
553, ase, id = 553
554, cmd2, id = 554
555, tox, id = 555
556, docstring-parser, id = 556
557, html2text, id = 557
558, praw, id = 558
559, smart-open, id = 559
560, shortuuid, id = 560
561, fastcore, id = 561
562, pycountry, id = 562
563, frozendict, id = 563
564, deepdiff, id = 564
565, json, id = 565
566, pathspec, id = 566
567, waitress, id = 567
568, zope.security, id = 568
569, dash-bootstrap-components, id = 569
570, tldextract, id = 570
571, azure-common, id = 571
572, rsa, id = 572
573, pynacl, id = 573
